keyword,search_volume,cpc,keyword_difficulty,cluster_id,cluster_name,is_pivot,opportunity_score
pompe a gasoil,,0.29,,7.0,pompe a gasoil,False,0
cuve pour jardin,,0.26,,7.0,pompe a gasoil,False,0
recupérateur eau de pluie,,0.14,,7.0,pompe a gasoil,False,0
crepine filtre,,0.39,,0.0,crepine filtre,True,0
où acheter de l'adblue,,0.0,,7.0,pompe a gasoil,False,0
fabricant materiel agricole france,,0.0,,7.0,pompe a gasoil,False,0
pompe irrigation,,0.4,,7.0,pompe a gasoil,False,0
accélérateur chauffage,,0.16,,7.0,pompe a gasoil,False,0
marque de tracteur,,0.0,,7.0,pompe a gasoil,False,0
cuve à eau 5000 l,,0.75,,7.0,pompe a gasoil,False,0
pompe de cave automatique,,0.23,,7.0,pompe a gasoil,False,0
eaux usées pompe de relevage,,0.44,,7.0,pompe a gasoil,False,0
pompe vide piscine,,0.22,,7.0,pompe a gasoil,False,0
direct cuve,,1.27,,7.0,pompe a gasoil,False,0
pompe pour machine a laver,,0.2,,7.0,pompe a gasoil,False,0
cuve à eau,,0.37,,7.0,pompe a gasoil,False,0
pompe à eau thermique,,0.21,,7.0,pompe a gasoil,False,0
triphase cable,,0.3,,7.0,pompe a gasoil,False,0
pompe à graisse électrique,,0.27,,7.0,pompe a gasoil,False,0
cuve recuperation eau de pluie enterré,,0.41,,7.0,pompe a gasoil,False,0
pompe transfert gasoil,,0.28,,7.0,pompe a gasoil,False,0
bouchon cuve fioul,,0.17,,,Bruit,False,0
tva déductible carburant,,0.44,,7.0,pompe a gasoil,False,0
conduites d eau,,0.0,,7.0,pompe a gasoil,False,0
comment mettre de la pression dans un surpresseur,,0.0,,7.0,pompe a gasoil,False,0
camion consommation,,0.0,,,Bruit,False,0
réservoir vessie 100l,,0.31,,7.0,pompe a gasoil,False,0
compteur chiffres,,0.0,,,Bruit,False,0
comment installer une pompe de relevage pour machine à laver,,0.0,,7.0,pompe a gasoil,False,0
entonnoir eau de pluie,,0.0,,7.0,pompe a gasoil,False,0
tva carburant 2024,,0.0,,7.0,pompe a gasoil,False,0
pression reseau eau,,0.0,,7.0,pompe a gasoil,False,0
calcul m3 eau,,0.0,,7.0,pompe a gasoil,False,0
tracteur renault n71,,0.0,,,Bruit,False,0
pompe thermique à eau,,0.21,,7.0,pompe a gasoil,False,0
déduction tva essence,,0.0,,7.0,pompe a gasoil,False,0
taille raccord plomberie,,0.19,,7.0,pompe a gasoil,False,0
recuperation eau de pluie,,0.43,,7.0,pompe a gasoil,False,0
ou trouver du gnr en libre service,,0.0,,,Bruit,False,0
pompe qui aspire l'eau,,0.25,,7.0,pompe a gasoil,False,0
pressostat pompe à eau,,0.21,,7.0,pompe a gasoil,False,0
reservoir agricole,,2.01,,,Bruit,False,0
réservoir agricole,,2.01,,7.0,pompe a gasoil,False,0
presse etoupe pompe,,0.68,,7.0,pompe a gasoil,False,0
jerrican plastique ou metal,,0.0,,7.0,pompe a gasoil,False,0
jerrican metal ou plastique,,0.0,,,Bruit,False,0
jerrican essence,,0.33,,7.0,pompe a gasoil,False,0
colson,,0.57,,7.0,pompe a gasoil,False,0
cuve a fioul,,0.63,,7.0,pompe a gasoil,False,0
pompe de relevage sous sol,,0.37,,7.0,pompe a gasoil,False,0
pressostat pour surpresseur,,0.34,,7.0,pompe a gasoil,False,0
cuve 1000 litres,,0.46,,7.0,pompe a gasoil,False,0
puit pompe manuelle,,0.18,,7.0,pompe a gasoil,False,0
recupérateur eau,,0.15,,7.0,pompe a gasoil,False,0
tuyau pour recuperateur d'eau,,0.11,,7.0,pompe a gasoil,False,0
station adblue,,0.95,,7.0,pompe a gasoil,False,0
cuve enterrée pour récupération eau de pluie,,0.41,,7.0,pompe a gasoil,False,0
pompe electrique pour gasoil,,0.22,,7.0,pompe a gasoil,False,0
cuve eau 1000,,0.31,,7.0,pompe a gasoil,False,0
raccord plombier,,0.39,,7.0,pompe a gasoil,False,0
brocs en plastique,,0.19,,7.0,pompe a gasoil,False,0
pompe centrifuge,,0.91,,,Bruit,False,0
tuyau pompe aspiration,,0.18,,7.0,pompe a gasoil,False,0
un broc,,0.0,,7.0,pompe a gasoil,False,0
pompe à eaux chargées,,0.25,,7.0,pompe a gasoil,False,0
té pvc 50,,0.23,,,Bruit,False,0
cuve de ravitaillement 200l,,0.53,,7.0,pompe a gasoil,False,0
renault 1181-4,,0.0,,6.0,renault 1181-4,False,0
tractor renault,,0.0,,7.0,pompe a gasoil,False,0
pompe a huile voiture,,0.25,,7.0,pompe a gasoil,False,0
renault 652,,0.0,,6.0,renault 1181-4,True,0
pompe recuperation eau de pluie,,0.16,,7.0,pompe a gasoil,False,0
pompes immergées pour puits,,0.27,,7.0,pompe a gasoil,False,0
tracteur renault 56,,0.0,,,Bruit,False,0
contacteur pompe a eau,,0.21,,7.0,pompe a gasoil,False,0
pompe de relevage eaux usées,,0.44,,7.0,pompe a gasoil,False,0
surpresseur pompe,,0.25,,7.0,pompe a gasoil,False,0
quantité d'eau de pluie au m2,,0.0,,7.0,pompe a gasoil,False,0
broc plastique 5 litres,,0.0,,7.0,pompe a gasoil,False,0
cuve plastique fioul,,0.49,,7.0,pompe a gasoil,False,0
bidons d'essence,,0.0,,,Bruit,False,0
pompe d eau,,0.48,,7.0,pompe a gasoil,False,0
recuperateur eau 300 litre,,0.16,,7.0,pompe a gasoil,False,0
cuve eau enterrée,,0.36,,7.0,pompe a gasoil,False,0
plomberie raccordement,,0.39,,7.0,pompe a gasoil,False,0
surpresseur,,0.33,,7.0,pompe a gasoil,False,0
pressostat,,0.41,,7.0,pompe a gasoil,False,0
raccords,,0.63,,7.0,pompe a gasoil,False,0
