cluster_id,cluster_name,pivot_keyword,keywords_count,avg_search_volume,avg_cpc,avg_difficulty,opportunity_score
3,Accessoires de plomberie,raccords,6,,,,
7,Cuves Eau Grande Capacité,cuve 1000l,12,,,,
1,AdBlue: Prix et Composition,ad blue prix,11,,,,
8,Systèmes de récupération deau,cuve eau,33,,,,
10,Pompes pour puits,pompe puit,16,,,,
0,Tracteurs Renault Anciens,renault d22,8,,,,
4,Gestion des eaux pluviales,recuperation eaux de pluie,6,,,,
6,Équipements de graissage,graisseur,6,,,,
11,Pompes vidange piscine,surpresseur pompe,7,,,,
2,Marques de Tracteurs,tracteur avto,8,,,,
5,Pompes Électriques Gasoil,pompe gasoil 12v,6,,,,
9,Pompes et Régulateurs dEaux,pompe à eaux chargées,5,,,,
