keyword,search_volume,cpc,keyword_difficulty,cluster_id,cluster_name,is_pivot,opportunity_score
citerne,,,,,Bruit,False,0
raccord plomberie,,,,3.0,Accessoires de plomberie,False,0
adblue prix,,,,,Bruit,False,0
cuve 1000 litres,,,,7.0,Cuves Eau Grande Capacité,False,0
station adblue,,,,1.0,AdBlue: Prix et Composition,False,0
raccords,,,,3.0,Accessoires de plomberie,True,0
raccords plomberie,,,,3.0,Accessoires de plomberie,False,0
cuve recuperation eau de pluie,,,,8.0,Systèmes de récupération deau,False,0
plomberie raccordement,,,,3.0,Accessoires de plomberie,False,0
cuve,,,,,Bruit,False,0
cuve a eau,,,,8.0,Systèmes de récupération deau,False,0
admissio,,,,,Bruit,False,0
cuve 1000l,,,,7.0,Cuves Eau Grande Capacité,True,0
pompe adblue,,,,,Bruit,False,0
ad blue prix,,,,1.0,AdBlue: Prix et Composition,True,0
pompe puit,,,,10.0,Pompes pour puits,True,0
renault tracteur,,,,0.0,Tracteurs Renault Anciens,False,0
pompe de surface,,,,,Bruit,False,0
cuve récupération des eaux de pluie,,,,4.0,Gestion des eaux pluviales,False,0
relais thermique,,,,,Bruit,False,0
voyant adblue,,,,1.0,AdBlue: Prix et Composition,False,0
cuve de recuperation eau pluviale,,,,8.0,Systèmes de récupération deau,False,0
adblue composition,,,,1.0,AdBlue: Prix et Composition,False,0
pompe pour puit,,,,10.0,Pompes pour puits,False,0
pompe à puit,,,,10.0,Pompes pour puits,False,0
surpresseur et pompe,,,,10.0,Pompes pour puits,False,0
pompe vide cave flotteur intégré,,,,,Bruit,False,0
pompe eau,,,,,Bruit,False,0
pompe surpresseur,,,,10.0,Pompes pour puits,False,0
composition adblue,,,,1.0,AdBlue: Prix et Composition,False,0
cuve eau de pluie,,,,8.0,Systèmes de récupération deau,False,0
plomberie raccords,,,,3.0,Accessoires de plomberie,False,0
pompe de relevage sanitaire,,,,,Bruit,False,0
pompe a graisse electrique,,,,6.0,Équipements de graissage,False,0
citerne eau de pluie,,,,8.0,Systèmes de récupération deau,False,0
raccord pvc,,,,,Bruit,False,0
recuperation eau de pluie cuve,,,,8.0,Systèmes de récupération deau,False,0
cuve à eau,,,,8.0,Systèmes de récupération deau,False,0
surpresseur pompe,,,,11.0,Pompes vidange piscine,True,0
vanne eau,,,,,Bruit,False,0
manometre pression eau,,,,,Bruit,False,0
cuve pour recuperation eau de pluie,,,,8.0,Systèmes de récupération deau,False,0
cuve eau,,,,8.0,Systèmes de récupération deau,True,0
