keyword,search_volume,cpc,keyword_difficulty,cluster_id,cluster_name,is_pivot,opportunity_score
seo lille,1200,2.5,45.0,2,Cluster 2,True,0.65
agence seo lille,800,3.2,52.0,2,Cluster 2,False,0.48
consultant seo,2400,4.1,38.0,0,Cluster 0,False,2.52
référencement naturel,3200,2.8,41.0,3,Cluster 3,True,2.13
audit seo,1500,3.5,48.0,4,Cluster 4,True,1.07
optimisation seo,900,2.9,43.0,0,Cluster 0,False,0.59
stratégie seo,600,3.8,55.0,0,Cluster 0,False,0.41
formation seo,1100,2.4,35.0,1,Cluster 1,True,0.73
expert seo,700,4.2,50.0,0,Cluster 0,True,0.58
services seo,1800,3.1,46.0,0,Cluster 0,False,1.19
