cluster_id,cluster_name,pivot_keyword,keywords_count,avg_search_volume,avg_cpc,avg_difficulty,opportunity_score
99,pompe a gasoil,pompe gasoil,13,,,,
123,recupérateur eau de pluie,recup eau pluie,70,,,,
0,crepine filtre,crepine filtre,10,,,,
27,fabricant materiel agricole france,matériel agricole france,7,,,,
62,accélérateur chauffage,accélérateur chauffage,5,,,,
42,marque de tracteur,marque tracteur,14,,,,
131,eaux usées pompe de relevage,pompe eau,99,,,,
34,pompe vide piscine,vide piscine,55,,,,
70,pompe pour machine a laver,pompe machine laver,18,,,,
107,cuve à eau,cuve à eau,12,,,,
64,pompe à eau thermique,pompe eau thermique,7,,,,
45,pompe à graisse électrique,pompe à graisse,16,,,,
129,cuve recuperation eau de pluie enterré,cuve recuperation eau de pluie enterré,10,,,,
56,tva déductible carburant,tva déductible carburant,7,,,,
114,conduites d eau,citerne eau,15,,,,
44,réservoir vessie 100l,reservoir 1000l,12,,,,
122,entonnoir eau de pluie,eau de pluie,14,,,,
32,taille raccord plomberie,raccord plombier,39,,,,
67,cuve a fioul,a cuve,47,,,,
50,pressostat pour surpresseur,surpresseur,18,,,,
83,cuve 1000 litres,cuve 500 litres,40,,,,
121,puit pompe manuelle,pompe manuel,14,,,,
85,recupérateur eau,recuperer d eau,30,,,,
54,station adblue,station adblue,15,,,,
98,pompe electrique pour gasoil,pompe fuel electrique,17,,,,
80,cuve eau 1000,cuve eau 1000,10,,,,
41,brocs en plastique,broc plastique,9,,,,
87,tuyau pompe aspiration,pompe aspiration,10,,,,
63,un broc,fouil,17,,,,
1,renault 1181-4,renault 70,16,,,,
124,pompes immergées pour puits,une pompe,96,,,,
125,surpresseur pompe,surpresseur pompe,12,,,,
40,cuve plastique fioul,cuve plastique,9,,,,
106,cuve eau enterrée,cuve eau enterrée,6,,,,
37,diametre tuyau pompier,pompier gnr,37,,,,
59,prix du litre adblue à la pompe,prix adblue pompe,7,,,,
109,reservoir d eau de pluie,reservoir eau pluie,8,,,,
7,tracteur renault d22 fiche technique,tracteur renault d22,8,,,,
48,prix adblue,prix adblue,10,,,,
115,pompe vide cave,pompe cave,5,,,,
18,urée voiture,arret auto,6,,,,
81,recuperateur eau de pluie 3000 litres,cuve à eau 1000 litres,17,,,,
60,prix du litre adblue,prix litre adblue,7,,,,
100,pompe à carburant manuelle,pompe fuel,10,,,,
29,robinets jardin,robinets jardin,9,,,,
88,interdit recuperer eau de pluie,eau de pluie interdiction,10,,,,
78,carburant tva,citerne fuel,20,,,,
127,cuve recuperation eau de pluie,cuve retention eau de pluie,26,,,,
117,utilisation eau de pluie,utilisation eau de pluie,7,,,,
47,eau vide sanitaire,pas d eau,11,,,,
126,cuves eau de pluie,cuve eau pluie,10,,,,
13,crepine anti retour,crepine anti retour,9,,,,
102,pompe de relevage clim,pompe pour clim,13,,,,
95,pompe a huile,pompe huile,21,,,,
35,relai thermique,relai thermique,17,,,,
119,réserve d eau de pluie,réserve eau de pluie,10,,,,
55,reserves d eau,reserve eau,10,,,,
90,pompe 12v carburant,pompe gasoil 12v,12,,,,
15,câble triphasé,16a cable,13,,,,
5,adblue combien de kilometre,adblue combien de km,10,,,,
31,cuve 1000l dimensions,cuve 500l,24,,,,
118,pompe immergée arrosage,pompe arrosage,11,,,,
39,produit nettoyage cuve fioul,nettoyage cuve,22,,,,
93,recuperateur eau de pluie filtre,eau de pluie filtration,9,,,,
105,reservoir d eau,reservoir eau,8,,,,
38,cuve 10000l beton,cuve beton 10000,10,,,,
17,fonctionnement relais electrique,graisseur electrique,5,,,,
33,pompe de relevage pour lavabo,eau de pluie wc,23,,,,
68,rehausse cuve enterrée,cuve enterré,8,,,,
16,jerrican 10l alimentaire,jerrican alimentaire,18,,,,
97,pompe de transfert de carburant,pompe de transfert gasoil,5,,,,
101,pompage electrique,pompage electrique,7,,,,
36,adblue urée,fut adblue,23,,,,
19,relais magnéto thermique,magnétothermique,23,,,,
2,coude 45 pvc 40,90 pvc,13,,,,
57,prix changement circulateur chaudière,circulateur chaudière prix,11,,,,
74,quelle pression d eau dans une maison,pression eau maison,19,,,,
10,prix ad blue,prix ad blue,20,,,,
112,récupérateur eau de pluie enterrée,récupérateur eau de pluie enterré,9,,,,
130,cuve pour eau de pluie enterrée,cuve enterree eau pluie,13,,,,
75,pression reseau d eau,pression eau,17,,,,
79,dégazage cuve fuel,cuve fuel,16,,,,
108,cuves recuperateur d'eau,cuve recuperateur eau,11,,,,
23,ballon surpresseur 300 l,ballon surpresseur 200l,5,,,,
96,pompe petrole electrique,pompe electrique huile,9,,,,
116,pompe pour evacuer l eau,pompe evacuer eau,6,,,,
24,ballon pour surpresseur,valve ballon,16,,,,
8,d 30 renault,renault d35,5,,,,
69,moteur pompe,moteur pompe,6,,,,
30,raccorder pvc,y pvc,16,,,,
61,circulateur pour chaudière,chauffage circulateur,16,,,,
132,enrouleur tuyau eau,tuyaux eau,25,,,,
103,pompe de puit de surface,pompe de surface,17,,,,
3,colliers de serrage métallique,tourillon métal,6,,,,
111,pompe de relevage eaux pluviales,pompe relevage eau de pluie,7,,,,
58,prix pompe de relevage,prix pompe immergée,6,,,,
6,pistolet essence,pistolet adblue,12,,,,
43,jerricane,jerricane,8,,,,
92,broc huile,fut huile,9,,,,
86,comment installer un recuperateur d eau,installer recuperateur eau,8,,,,
72,pompe pour jardin,pompe de jardin,20,,,,
82,cuve eau 1000 litres,cuve eau 1000 litres,5,,,,
46,pompe a graisse batterie,graisse batterie,7,,,,
20,cuve surpresseur 200l,cuve surpresseur 200l,6,,,,
26,tracteurs renault,des tracteurs,14,,,,
113,entretien de pompe de relevage,entretien pompe relevage,7,,,,
91,raccord tuyaux,raccord tuyaux,10,,,,
53,pompe adblue,pompe adblue,13,,,,
22,inondation maison que faire,maison inondée,8,,,,
12,prix neutralisation cuve fioul,prix cuve fioul,14,,,,
77,pompe hydraulique prise de force tracteur,moteur pour pompe hydraulique,6,,,,
65,comment calculer le volume d'eau,volume d'eau,15,,,,
71,pompe pour vide sanitaire,pompe relevage sanitaire,5,,,,
110,pompe pour cuve fioul,pompe cuve,7,,,,
25,station essence poids lourds,station service gnr,6,,,,
76,plus de pression d'eau,plus de pression eau,13,,,,
66,tva recuperable sur carburant,recuperer tva carburant,7,,,,
89,installer une pompe de relevage,installer pompe de relevage,5,,,,
21,essence rouge,fioul rouge,5,,,,
49,manometre eau pression,robinet pression,12,,,,
128,citerne eau de pluie enterree,citerne eau de pluie enterré,6,,,,
28,comment fonctionne un relais,fonction du relais,9,,,,
51,pas de pression dans la douche,pression douche,15,,,,
94,pompette gasoil,gasoil tva,5,,,,
73,pompe relevage eaux usées prix,pompe à eau prix,8,,,,
9,raccord 3/4,1/2 x,12,,,,
120,pompe à eau pour cuve,pompe cuve eau,8,,,,
104,pompe vide cave serpillère,pompe pour vide cave,5,,,,
4,jerrican metal,jerrican metal,6,,,,
52,tarif degazage cuve fuel,prix degazage cuve fuel,7,,,,
14,jerrican 10l essence,jerricane 20l,7,,,,
84,cuve plastique 5000 litres,cuve plastique 200 litres,6,,,,
11,nettoyage cuve fioul prix,nettoyage cuve fioul prix,5,,,,
