keyword,search_volume,cpc,keyword_difficulty,cluster_id,cluster_name,is_pivot,opportunity_score
citerne,,,,,Bruit,False,0
raccord plomberie,,,,,Bruit,False,0
adblue prix,,,,1.0,Problématiques AdBlue véhicule,True,0
cuve 1000 litres,,,,2.0,Cuves Eau 1000 Litres,False,0
station adblue,,,,,Bruit,False,0
raccords,,,,,Bruit,False,0
raccords plomberie,,,,,Bruit,False,0
cuve recuperation eau de pluie,,,,5.0,Systèmes de récupération deau,False,0
plomberie raccordement,,,,,Bruit,False,0
cuve,,,,,Bruit,False,0
cuve a eau,,,,5.0,Systèmes de récupération deau,False,0
admissio,,,,,Bruit,False,0
cuve 1000l,,,,2.0,Cuves Eau 1000 Litres,True,0
pompe adblue,,,,1.0,Problématiques AdBlue véhicule,False,0
ad blue prix,,,,,Bruit,False,0
pompe puit,,,,4.0,Pompes et Surpresseurs,False,0
renault tracteur,,,,0.0,Marques de Tracteurs,False,0
pompe de surface,,,,4.0,Pompes et Surpresseurs,False,0
cuve récupération des eaux de pluie,,,,5.0,Systèmes de récupération deau,False,0
relais thermique,,,,,Bruit,False,0
voyant adblue,,,,1.0,Problématiques AdBlue véhicule,False,0
cuve de recuperation eau pluviale,,,,5.0,Systèmes de récupération deau,False,0
adblue composition,,,,1.0,Problématiques AdBlue véhicule,False,0
pompe pour puit,,,,4.0,Pompes et Surpresseurs,False,0
pompe à puit,,,,4.0,Pompes et Surpresseurs,False,0
surpresseur et pompe,,,,4.0,Pompes et Surpresseurs,False,0
pompe vide cave flotteur intégré,,,,,Bruit,False,0
pompe eau,,,,4.0,Pompes et Surpresseurs,True,0
pompe surpresseur,,,,4.0,Pompes et Surpresseurs,False,0
composition adblue,,,,,Bruit,False,0
cuve eau de pluie,,,,5.0,Systèmes de récupération deau,False,0
plomberie raccords,,,,,Bruit,False,0
pompe de relevage sanitaire,,,,,Bruit,False,0
pompe a graisse electrique,,,,,Bruit,False,0
citerne eau de pluie,,,,5.0,Systèmes de récupération deau,False,0
raccord pvc,,,,,Bruit,False,0
recuperation eau de pluie cuve,,,,5.0,Systèmes de récupération deau,False,0
cuve à eau,,,,5.0,Systèmes de récupération deau,False,0
surpresseur pompe,,,,4.0,Pompes et Surpresseurs,False,0
vanne eau,,,,,Bruit,False,0
manometre pression eau,,,,,Bruit,False,0
cuve pour recuperation eau de pluie,,,,5.0,Systèmes de récupération deau,False,0
cuve eau,,,,5.0,Systèmes de récupération deau,True,0
raccord en plomberie,,,,,Bruit,False,0
raccord pompier,,,,,Bruit,False,0
jerrican alimentaire,,,,,Bruit,False,0
supression,,,,,Bruit,False,0
marque de tracteur,,,,0.0,Marques de Tracteurs,False,0
pompe vide piscine,,,,3.0,Pompes vidange piscine,True,0
pompe centrifuge,,,,,Bruit,False,0
pompe pour vider piscine,,,,3.0,Pompes vidange piscine,False,0
station gnv,,,,,Bruit,False,0
pompe arrosage,,,,4.0,Pompes et Surpresseurs,False,0
graisseur,,,,,Bruit,False,0
pompe pour un puit,,,,4.0,Pompes et Surpresseurs,False,0
cuve récupération eau de pluie,,,,5.0,Systèmes de récupération deau,False,0
cuve a eau 1000,,,,2.0,Cuves Eau 1000 Litres,False,0
pompe gasoil,,,,,Bruit,False,0
cuve pour eau de pluie,,,,5.0,Systèmes de récupération deau,False,0
pompe à graisse,,,,,Bruit,False,0
pompe de jardin,,,,,Bruit,False,0
pompe pour vider la piscine,,,,3.0,Pompes vidange piscine,False,0
distribagri,,,,,Bruit,False,0
cuve de récupération eau de pluie,,,,5.0,Systèmes de récupération deau,False,0
pompe electrique gasoil,,,,,Bruit,False,0
cuve à eau de pluie,,,,5.0,Systèmes de récupération deau,False,0
cuve pour recuperer eau de pluie,,,,5.0,Systèmes de récupération deau,False,0
pompes de relevage,,,,,Bruit,False,0
pompage electrique,,,,,Bruit,False,0
pompe pour arrosage,,,,4.0,Pompes et Surpresseurs,False,0
pompe de puits,,,,4.0,Pompes et Surpresseurs,False,0
d22,,,,,Bruit,False,0
pompe pour vider une piscine,,,,3.0,Pompes vidange piscine,False,0
pompe de relevage eaux pluviales,,,,4.0,Pompes et Surpresseurs,False,0
cuve eau 1000l,,,,2.0,Cuves Eau 1000 Litres,False,0
pompe électrique pour eau,,,,,Bruit,False,0
burette à huile,,,,,Bruit,False,0
pompe à gasoil électrique,,,,,Bruit,False,0
pression eau maison,,,,,Bruit,False,0
d 22 renault,,,,,Bruit,False,0
pompe immergee pour puit,,,,4.0,Pompes et Surpresseurs,False,0
tracteur marque,,,,0.0,Marques de Tracteurs,False,0
citerne à eau de pluie,,,,5.0,Systèmes de récupération deau,False,0
pompe de relevage eaux chargées,,,,4.0,Pompes et Surpresseurs,False,0
citerne pour eau de pluie,,,,5.0,Systèmes de récupération deau,False,0
reservoir pour eau de pluie,,,,5.0,Systèmes de récupération deau,False,0
recuperer eau de pluie,,,,6.0,Gestion des eaux pluviales,True,0
récupération eau de pluie,,,,6.0,Gestion des eaux pluviales,False,0
pompe pour vidanger une piscine,,,,3.0,Pompes vidange piscine,False,0
pompe d arrosage,,,,4.0,Pompes et Surpresseurs,False,0
cuve pour eau,,,,5.0,Systèmes de récupération deau,False,0
manometre eau pression,,,,,Bruit,False,0
cuve à eau 1000l,,,,2.0,Cuves Eau 1000 Litres,False,0
renault d22,,,,,Bruit,False,0
pompe pour vidange huile moteur,,,,,Bruit,False,0
pompe pour eaux chargées,,,,4.0,Pompes et Surpresseurs,False,0
pompe d'arrosage,,,,4.0,Pompes et Surpresseurs,False,0
marque tracteur,,,,0.0,Marques de Tracteurs,False,0
essence tva,,,,,Bruit,False,0
pompe serpillère,,,,4.0,Pompes et Surpresseurs,False,0
pompe à gasoil,,,,,Bruit,False,0
pompage puits,,,,4.0,Pompes et Surpresseurs,False,0
récupération des eaux de pluie,,,,6.0,Gestion des eaux pluviales,False,0
eau de pluie récupération,,,,6.0,Gestion des eaux pluviales,False,0
