cluster_id,cluster_name,pivot_keyword,keywords_count,avg_search_volume,avg_cpc,avg_difficulty,opportunity_score
95,pompe a gasoil,pompe gasoil,13,,,,
119,recupérateur eau de pluie,recup eau pluie,70,,,,
6,crepine filtre,crepine filtre,10,,,,
32,fabricant materiel agricole france,matériel agricole france,7,,,,
64,accélérateur chauffage,accélérateur chauffage,5,,,,
45,marque de tracteur,marque tracteur,14,,,,
29,cuve à eau 5000 l,500 litre,176,,,,
127,eaux usées pompe de relevage,pompe eau,99,,,,
38,pompe vide piscine,vide piscine,55,,,,
72,pompe pour machine a laver,pompe machine laver,18,,,,
103,cuve à eau,cuve à eau,12,,,,
66,pompe à eau thermique,pompe eau thermique,7,,,,
47,pompe à graisse électrique,pompe à graisse,16,,,,
123,cuve recuperation eau de pluie enterré,cuve recuperation eau de pluie enterré,10,,,,
58,tva déductible carburant,deduction tva carburant,8,,,,
109,conduites d eau,citerne eau,15,,,,
30,réservoir vessie 100l,reservoir 100 l,14,,,,
116,entonnoir eau de pluie,eau de pluie,14,,,,
36,taille raccord plomberie,raccord plombier,39,,,,
69,cuve a fioul,a cuve,47,,,,
52,pressostat pour surpresseur,surpresseur,18,,,,
118,puit pompe manuelle,pompe manuel,13,,,,
82,recupérateur eau,recuperer d eau,30,,,,
56,station adblue,station adblue,16,,,,
94,pompe electrique pour gasoil,pompe fuel electrique,17,,,,
44,brocs en plastique,broc plastique,9,,,,
84,tuyau pompe aspiration,pompe aspiration,10,,,,
65,un broc,fouil,17,,,,
25,cuve de ravitaillement 200l,cuve 200l,6,,,,
4,renault 1181-4,renault 70,16,,,,
125,pompes immergées pour puits,une pompe,96,,,,
126,surpresseur pompe,surpresseur pompe,12,,,,
43,cuve plastique fioul,cuve plastique,9,,,,
102,cuve eau enterrée,cuve eau enterrée,5,,,,
41,diametre tuyau pompier,pompier gnr,37,,,,
61,prix du litre adblue à la pompe,prix adblue pompe,7,,,,
105,reservoir d eau de pluie,reservoir eau pluie,8,,,,
8,tracteur renault d22 fiche technique,renault d35,17,,,,
50,prix adblue,prix adblue,11,,,,
113,pompe vide cave,pompe cave,5,,,,
20,urée voiture,arret auto,6,,,,
62,prix du litre adblue,prix litre adblue,7,,,,
96,pompe à carburant manuelle,pompe fuel,10,,,,
34,robinets jardin,robinets jardin,9,,,,
85,interdit recuperer eau de pluie,eau de pluie interdiction,10,,,,
80,carburant tva,citerne fuel,20,,,,
121,cuve recuperation eau de pluie,cuve retention eau de pluie,26,,,,
111,utilisation eau de pluie,utilisation eau de pluie,7,,,,
49,eau vide sanitaire,pas d eau,11,,,,
120,cuves eau de pluie,cuve eau pluie,10,,,,
15,crepine anti retour,crepine anti retour,9,,,,
98,pompe de relevage clim,pompe pour clim,13,,,,
91,pompe a huile,pompe huile,21,,,,
39,relai thermique,relai thermique,17,,,,
114,réserve d eau de pluie,réserve eau de pluie,11,,,,
0,classement vente tracteur 2024,surpresseur 50 l,15,,,,
57,reserves d eau,reserve eau,10,,,,
87,pompe 12v carburant,pompe gasoil 12v,12,,,,
16,câble triphasé,câble triphasé,10,,,,
11,adblue combien de kilometre,adblue combien de km,10,,,,
28,cuve 1000l dimensions,cuve 500l,26,,,,
115,pompe immergée arrosage,pompe arrosage,11,,,,
42,produit nettoyage cuve fioul,nettoyage cuve,22,,,,
90,recuperateur eau de pluie filtre,filtre cuve eau de pluie,8,,,,
101,reservoir d eau,reservoir eau,8,,,,
17,fonctionnement relais electrique,flotteur electrique,6,,,,
37,pompe de relevage pour lavabo,eau de pluie wc,23,,,,
7,75 pvc,75 pvc,13,,,,
70,rehausse cuve enterrée,cuve enterré,8,,,,
26,jerrican 10l alimentaire,bidon alimentaire 5l,21,,,,
93,pompe de transfert de carburant,pompe de transfert gasoil,5,,,,
97,pompage electrique,pompage electrique,7,,,,
40,adblue urée,fut adblue,23,,,,
21,relais magnéto thermique,magnétothermique,24,,,,
59,prix changement circulateur chaudière,pompe chaudière gaz prix,12,,,,
76,quelle pression d eau dans une maison,pression eau maison,19,,,,
13,prix ad blue,prix ad blue,20,,,,
